shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lon,shape_pt_lat
_4,25,,14.52685,46.066430000000004
_4,26,,14.527100999999998,46.066836
_4,27,,14.527798999999998,46.066978999999996
_4,28,,14.529776000000002,46.064957
_4,29,,14.537791000000002,46.068616
_4,30,,14.537181,46.068544
_4,31,,14.533697,46.066969
_4,32,,14.537291999999999,46.068483
_4,33,,14.540683999999999,46.069152
_4,34,,14.540396000000001,46.06954
_4,35,,14.542077,46.070688000000004
_4,36,,14.542950999999999,46.069546
_4,37,,14.540683999999999,46.069152
_4,38,,14.550725,46.070481
_4,39,,14.552634000000001,46.069212
_4,40,,14.551204000000002,46.066997
_4,41,,14.551458,46.066783
_4,42,,14.551224,46.065779
_4,43,,14.549329,46.061704
_4,44,,14.57055,46.06216
_3,0,,14.504439999999999,46.095215
_3,1,,14.509041,46.094696
_3,2,,14.513229999999998,46.092545
_3,3,,14.512356,46.091324
_3,4,,14.512279000000001,46.08961
_3,5,,14.507757000000002,46.089997
_3,6,,14.507584,46.089425
_3,7,,14.507912,46.088259
_3,8,,14.507330999999999,46.081841
_3,9,,14.506523000000001,46.078755
_3,10,,14.504118,46.073388
_3,11,,14.502841,46.066145999999996
_3,12,,14.503907000000002,46.063661
_3,13,,14.506592000000001,46.063949
_3,14,,14.508379999999999,46.063575
_3,15,,14.505797999999999,46.057617
_3,16,,14.507282,46.060358
_3,17,,14.507705000000001,46.06146
_3,18,,14.504585,46.054417
_3,19,,14.506018000000001,46.057694
_3,20,,14.503233,46.057705
_3,21,,14.501290000000001,46.056563
_3,22,,14.502643,46.05555
_3,23,,14.501625,46.053773
_3,24,,14.503718000000001,46.053353
_3,25,,14.501625,46.053773
_3,26,,14.500978,46.052201000000004
_3,27,,14.501991,46.052002
_3,28,,14.501616000000002,46.051092999999995
_3,29,,14.502872,46.050793
_3,30,,14.502081,46.049009999999996
_3,31,,14.502934,46.050781
_3,32,,14.498603,46.051722999999996
_3,33,,14.497658000000001,46.049824
_3,34,,14.492574,46.051564
_3,35,,14.487921,46.049396
_3,36,,14.480071,46.047247
_3,37,,14.481105,46.045339
_3,38,,14.479998,46.044888
_3,39,,14.47784,46.044696
_3,40,,14.471024,46.045561
_3,41,,14.46569,46.047368
_3,42,,14.460387,46.04723
_3,43,,14.453738000000001,46.047736
_3,44,,14.453624,46.046486
_3,45,,14.455507,46.044933
_3,46,,14.527612,46.026486999999996
_3,47,,14.532221000000002,46.024183
_3,48,,14.534081,46.021097
_3,49,,14.534451,46.020996000000004
_3,50,,14.536273,46.018747000000005
_3,51,,14.534816000000001,46.018015000000005
_2,0,,14.57055,46.06216
_2,1,,14.549606,46.061872
_2,2,,14.549429,46.061989999999994
_2,3,,14.550873999999999,46.064443
_2,4,,14.551696999999999,46.066983
_2,5,,14.548070000000001,46.066309000000004
_2,6,,14.545995,46.069849
_2,7,,14.551567,46.070732
_2,8,,14.537181,46.068544
_2,9,,14.529776000000002,46.064957
_2,10,,14.533771999999999,46.0669
_2,11,,14.529706,46.065023000000004
_2,12,,14.527798999999998,46.066978999999996
_2,13,,14.526604,46.067047
_2,14,,14.526214999999999,46.066635000000005
_2,15,,14.517062000000001,46.064742
_2,16,,14.516417999999998,46.065314
_2,17,,14.516062,46.065109
_2,18,,14.516563999999999,46.064638
_2,19,,14.511088,46.063556
_2,20,,14.508416,46.063661
_2,21,,14.510145,46.063362
_2,22,,14.512944,46.063912
_2,23,,14.513444999999999,46.061515
_2,24,,14.512704,46.059767
_2,25,,14.507284000000002,46.059717
_2,26,,14.507116,46.059967
_2,27,,14.507551000000001,46.061486
_2,28,,14.504585,46.054417
_2,29,,14.506018000000001,46.057694
_2,30,,14.505503,46.056889
_2,31,,14.50325,46.057246
_2,32,,14.502547000000002,46.05572
_2,33,,14.49622,46.061532
_2,34,,14.494240999999999,46.064515
_2,35,,14.496117000000002,46.061476
_2,36,,14.498201,46.05982
_2,37,,14.49622,46.061532
_2,38,,14.494036,46.06515
_2,39,,14.491791000000001,46.067564
_2,40,,14.494380000000001,46.064542
_2,41,,14.491791000000001,46.067564
_2,42,,14.489465000000001,46.066451
_2,43,,14.488005999999999,46.066591
_2,44,,14.478238999999999,46.071109
_2,45,,14.475548,46.074592
_2,46,,14.471694,46.078625
_2,47,,14.468034,46.083781
_2,48,,14.46518,46.085487
_2,49,,14.464572999999998,46.087044
_2,50,,14.461497,46.086771
_2,51,,14.459404000000001,46.086104999999996
_2,52,,14.459233000000001,46.08642
_2,53,,14.459633,46.087602
_2,54,,14.459333,46.088453
_1,0,,14.535841999999999,46.104236
_1,1,,14.528107,46.10185
_1,2,,14.522675000000001,46.100829
_1,3,,14.52009,46.100968
_1,4,,14.516637,46.099374999999995
_1,5,,14.516473,46.098815
_1,6,,14.516969,46.097978
_1,7,,14.517068,46.097064
_1,8,,14.516484,46.095293
_1,9,,14.513909000000002,46.091257
_1,10,,14.513921,46.084849000000006
_1,11,,14.513994,46.086819000000006
