stop_id,stop_name,stop_lat,stop_lon
1212,BTC - Uprava,46.0682104,14.5419301
1213,Jarse,46.068343,14.5367404
1214,Sola Jarse,46.0666295,14.5332344
1215,Flajsmanova,46.064753,14.529458
1216,Srediska,46.0625326,14.5248519
1217,Viadukt,46.0594849,14.5207506
1218,Friskovec,46.0573631,14.5183045
1219,Kolodvor,46.0577365,14.5113548
1220,Bavarski dvor,46.056648,14.5056028
1221,Posta,46.0522258,14.5034508
1222,Drama,46.0490623,14.5019478
1223,Krizanke,46.0461122,14.5022038
1224,Gornji trg,46.0458103,14.5063623
1225,Privoz,46.0439427,14.5113451
1226,Strelisce,46.0392796,14.5170549
1227,Izanska,46.0349501,14.5128939
1228,Galjevica,46.0333037,14.5129136
1229,Mihov stradon,46.0291213,14.5219197
1230,Jurckova,46.0264949,14.5276211
1231,Bobrova,46.0240114,14.5321792
1232,NS Rudnik,46.0180225,14.5348096
1233,Brezovica,46.0215139,14.4264028
1234,Preserje,45.96565,14.3963667
1235,Notranje Gorice,45.9875889,14.4024361
1236,Brezovica,46.0215139,14.4264028
1237,Ljubljana Tivoli,46.0502083,14.4940361
1238,Ljubljana,46.0581083,14.5102778
1239,Ljubljana,46.0581083,14.5102778
1240,Ljubljana Tivoli,46.0502083,14.4940361
1241,Brezovica,46.0215139,14.4264028
1242,Notranje Gorice,45.9875889,14.4024361
1243,Preserje,45.96565,14.3963667
1244,Borovnica,45.9213889,14.3677222
1245,Ljubljana,46.0581083,14.5102778
1246,Ljubljana Polje,46.0588333,14.5847083
1247,Ljubljana Zalog,46.0597556,14.6153611
1248,Laze,46.08805,14.6876694
1249,Jevnica,46.084025,14.7367583
1250,Kresnice,46.10299999999999,14.7911667
1251,Litija,46.05834000000001,14.825072
1252,Litija,46.05834000000001,14.825072
1253,Kresnice,46.10299999999999,14.7911667
1254,Jevnica,46.084025,14.7367583
1255,Laze,46.08805,14.6876694
1256,Ljubljana Zalog,46.0597556,14.6153611
1257,Ljubljana Polje,46.0588333,14.5847083
1258,Ljubljana,46.0581083,14.5102778
1259,Kamnik,46.2207028,14.60375
1260,Duplica-Bakovnik,46.2060361,14.59435
1261,Smarca,46.1930972,14.5886083
1262,Homec pri Kamniku,46.1798639,14.5906917
1263,Rodica,46.1490306,14.592425
1264,Domzale,46.139275,14.5924944
1265,Trzin,46.13283610000001,14.5675889
1266,Trzin Mlake,46.1286028,14.5596694
1267,Trzin ind. cona,46.1189056,14.5509306
1268,Ljubljana Crnuce,46.101175,14.5262528
1269,Ljubljana Jezica,46.0898556,14.5073917
1270,Ljubljana BrinjeLjubljana,46.07624999999999,14.5030111
1271,Ljubljana,46.0581083,14.5102778
1272,Litostroj,46.07736389999999,14.4897194
1273,Ljubljana Stegne,46.08680560000001,14.4799778
